#year,locid,itn_ga,itn_mil,itn_ac,itn_at
2013,AGO,2500,100,0,0
2013,AGS,10361,1318,1708,12105
2013,AGZ,140,0,0,0
2013,AHH,6600,100,0,200
2013,AHN,16202,1085,90,1869
2013,AHP,75,0,0,250
2013,AHQ,4650,150,0,0
2013,AIA,4350,5,988,1214
2013,AIB,1122,50,0,0
2013,AID,7536,166,0,998
2013,AIG,4000,50,0,200
2013,AIK,14000,500,0,2600
2013,AIO,3078,0,0,0
2013,AIT,3615,0,0,0
2013,AIV,5400,0,0,0
2013,AIZ,3719,132,0,200
2013,AJC,500,0,0,1420
2013,AJG,3500,250,0,750
2013,AJO,13500,0,0,0
2013,AJR,8000,0,0,0
2013,AJZ,1455,0,0,0
2013,AKA,0,0,250,300
2013,AKH,9000,40,0,1000
2013,AKI,0,0,0,0
2013,AKK,100,0,0,1500
2013,AKN,5124,263,814,13944
2013,AKO,12500,400,20,180
2013,AKP,400,0,0,3200
2013,AKR,8500,100,0,300
2013,AKW,500,0,0,3300
2013,ALB,13003,3115,21740,26865
2013,ALI,2200,2000,0,10
2013,ALM,10000,800,0,1660
2013,ALN,15186,1076,2,796
2013,ALO,9863,612,31,1852
2013,ALS,14785,1000,0,7204
2013,ALW,10823,143,955,938
2013,ALX,26280,3000,0,0
2013,AMA,15346,11029,6494,13298
2013,AMG,4000,0,0,0
2013,AMN,4000,0,0,0
2013,AMT,2000,10,0,200
2013,AMW,18957,499,0,1656
2013,ANB,15221,4909,51,4812
2013,ANC,77006,2456,103112,78630
2013,AND,25000,300,90,4500
2013,ANE,42266,214,0,4068
2013,ANI,0,0,0,300
2013,ANK,6212,44,0,0
2013,ANQ,9543,0,0,1363
2013,ANV,0,0,0,0
2013,ANW,2650,50,0,0
2013,ANY,3000,0,0,0
2013,AOC,6119,50,0,100
2013,AOH,6000,500,0,6000
2013,AOO,14066,100,0,5174
2013,APA,135023,3067,9,32601
2013,APC,25754,115,0,3471
2013,APF,59616,130,95,8841
2013,APN,143,2581,1340,0
2013,APT,2190,100,0,0
2013,APV,12500,0,0,0
2013,AQC,0,0,0,0
2013,AQH,0,0,0,0
2013,AQO,3700,0,0,0
2013,AQR,2500,0,0,0
2013,AQT,100,200,0,1500
2013,AQW,12500,300,0,1100
2013,AQY,1000,0,0,2000
2013,ARA,10846,3376,198,15440
2013,ARB,23093,46,4,494
2013,ARC,175,0,0,1452
2013,ARG,5000,2000,0,300
2013,ARM,3900,100,0,0
2013,ARR,33402,213,8,761
2013,ART,8600,14350,0,1527
2013,ARV,15000,10,0,3180
2013,ARW,14500,0,0,1500
2013,ASD,30000,4000,0,0
2013,ASE,14996,118,8137,8726
2013,ASG,15804,32,0,1837
2013,ASH,21835,49,0,171
2013,ASJ,6800,100,0,200
2013,ASL,5400,0,0,0
2013,ASN,36500,2700,0,630
2013,AST,11797,14000,0,1651
2013,ASW,3643,0,0,608
2013,ASX,5000,25,0,500
2013,ATA,5200,0,0,0
2013,ATK,30,0,0,500
2013,ATL,7789,507,738295,175736
2013,ATS,7150,0,0,0
2013,ATW,12852,136,2601,10533
2013,ATY,3000,100,3100,2700
2013,AUG,11500,3000,0,5300
2013,AUH,4950,75,0,0
2013,AUK,0,0,0,0
2013,AUM,8000,120,0,300
2013,AUN,32320,0,0,1100
2013,AUO,40672,500,0,1460
2013,AUS,50201,6232,101199,15936
2013,AUW,5000,50,0,2550
2013,AVC,4100,304,0,200
2013,AVK,4000,0,0,0
2013,AVL,25807,3480,4356,13178
2013,AVO,17300,0,0,0
2013,AVP,10708,362,1827,13483
2013,AVQ,25526,2000,0,10000
2013,AWG,9825,50,0,0
2013,AWI,300,0,0,800
2013,AWM,43000,200,0,0
2013,AWO,57295,20,0,520
2013,AXA,6272,0,0,0
2013,AXH,15490,915,0,166
2013,AXN,14662,300,0,2225
2013,AXQ,1181,6,0,4
2013,AXS,7665,0,0,0
2013,AXV,7600,56,0,1800
2013,AXX,2300,0,0,200
2013,AYS,7500,500,0,0
2013,AZC,1500,30,0,100
2013,AZE,4300,80,0,0
2013,AZO,16654,260,110,9300
2013,B16,2000,100,0,0
2013,B19,5800,50,0,0
2013,B21,2500,0,0,0
2013,BAC,3000,50,0,250
2013,BAF,21715,3809,6,689
2013,BAK,25225,1461,331,1677
2013,BAM,3600,120,0,1800
2013,BAX,3222,0,0,0
2013,BAZ,14432,262,8,1129
2013,BBB,2000,0,0,100
2013,BBD,5853,6000,0,0
2013,BBG,3969,139,2842,565
2013,BBP,2500,0,0,60
2013,BBW,1550,30,0,250
2013,BCB,11741,286,0,344
2013,BCE,2498,0,0,340
2013,BCK,6050,0,0,220
2013,BCT,31592,68,0,6722
2013,BCV,35044,100,0,0
2013,BDE,9041,75,0,653
2013,BDG,2888,0,0,100
2013,BDH,5000,50,0,800
2013,BDL,14947,3516,49814,27421
2013,BDN,51474,100,1029,1000
2013,BDQ,3072,400,0,0
2013,BDR,26783,185,8,2397
2013,BDU,7443,0,0,0
2013,BEA,1500,0,0,0
2013,BED,68924,649,265,18710
2013,BEH,18405,0,0,600
2013,BET,5520,451,2970,90672
2013,BFD,7131,350,0,4160
2013,BFE,2900,0,0,0
2013,BFF,14247,301,2255,580
2013,BFI,95438,601,8933,36934
2013,BFK,100,0,0,0
2013,BFL,49577,879,3193,9172
2013,BFM,13808,14495,1854,3407
2013,BFR,2342,136,0,204
2013,BFW,900,0,0,0
2013,BGD,2100,10,0,0
2013,BGE,3100,250,0,0
2013,BGF,1800,150,0,250
2013,BGM,7590,373,6,7142
2013,BGQ,8000,0,0,0
2013,BGR,13549,7870,7766,7888
2013,BHB,17000,400,1320,603
2013,BHC,6400,0,0,0
2013,BHK,1400,50,0,300
2013,BHM,39812,5855,27639,25107
2013,BID,9832,35,0,6328
